"IATA","ICAO","Airport name","Country","City","Information"
"SAQ","MYAN","San Andros Airport","Bahamas","Andros Island","https://www.worlddata.info/america/bahamas/airports.php"
"SAR","KSAR","Sparta Community Airport - Hunter Field","United States of America","Sparta","https://www.worlddata.info/america/usa/airports.php"
"SAS",,"Salton Sea Airport","United States of America","Salton City","https://www.worlddata.info/america/usa/airports.php"
"SAT","KSAT","San Antonio International Airport","United States of America","San Antonio","https://www.worlddata.info/america/usa/airports.php"
"SAV","KSAV","Savannah Hilton Head International Airport","United States of America","Savannah","https://www.worlddata.info/america/usa/airports.php"
"SAW","LTFJ","Istanbul Sabiha Gökçen International Airport","Turkey","Pendik, Istanbul","https://www.worlddata.info/asia/turkey/airports.php"
"SAX",,"Sambú Airport","Panama","Boca de Sábalo","https://www.worlddata.info/america/panama/airports.php"
"SAY","LIQS","Siena-Ampugnano Airport","Italy","Ampugnano (SI)","https://www.worlddata.info/europe/italy/airports.php"
"SAZ","GLST","Sasstown Airport","Liberia","Sasstown","https://www.worlddata.info/africa/liberia/airports.php"
"SBA","KSBA","Santa Barbara Municipal Airport","United States of America","Santa Barbara","https://www.worlddata.info/america/usa/airports.php"
"SBB","SVSB","Santa Bárbara de Barinas Airport","Venezuela","Santa Bárbara","https://www.worlddata.info/america/venezuela/airports.php"
"SBC","AYSO","Selbang Airport","Papua New Guinea","Selbang","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SBD","KSBD","San Bernardino International Airport","United States of America","San Bernardino","https://www.worlddata.info/america/usa/airports.php"
"SBE","AYSA","Suabi Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SBF","OADS","Sardeh Band Airport","Afghanistan","Sardeh Band","https://www.worlddata.info/asia/afghanistan/airports.php"
"SBG","WITB","Maimun Saleh Airport","Indonesia","Sabang","https://www.worlddata.info/asia/indonesia/airports.php"
"SBH","TFFJ","Saint Barthélemy - Rémy de Haenen Airport","Saint Barthelemy","Gustavia / Saint-Jean","https://www.worlddata.info/america/saint-barthelemy/airports.php"
"SBI","GUSB","Sambailo Airport","Guinea","Koundara","https://www.worlddata.info/africa/guinea/airports.php"
"SBJ","SNMX","São Mateus - Ernesto Bonomo Airport","Brazil","São Mateus","https://www.worlddata.info/america/brazil/airports.php"
"SBK","LFRT","Saint-Brieuc-Armor Airport","France","Trémuson, Côtes-d'Armor","https://www.worlddata.info/europe/france/airports.php"
"SBL","SLSA","Santa Ana Del Yacuma Airport","Bolivia","Santa Ana del Yacuma","https://www.worlddata.info/america/bolivia/airports.php"
"SBM","KSBM","Sheboygan County Memorial Airport","United States of America","Sheboygan","https://www.worlddata.info/america/usa/airports.php"
"SBN","KSBN","South Bend Regional Airport","United States of America","South Bend","https://www.worlddata.info/america/usa/airports.php"
"SBO",,"Salina Gunnison Airport","United States of America","Salina","https://www.worlddata.info/america/usa/airports.php"
"SBP","KSBP","San Luis County Regional Airport","United States of America","San Luis Obispo","https://www.worlddata.info/america/usa/airports.php"
"SBQ","OPSB","Sibi Airport","Pakistan","Sibi","https://www.worlddata.info/asia/pakistan/airports.php"
"SBR","YSII","Saibai Island Airport","Australia","Saibai Island","https://www.worlddata.info/oceania/australia/airports.php"
"SBS","KSBS","Steamboat Springs Bob Adams Field","United States of America","Steamboat Springs","https://www.worlddata.info/america/usa/airports.php"
"SBT","USDA","Sabetta International Airport","Russia","Sabetta","https://www.worlddata.info/europe/russia/airports.php"
"SBU","FASB","Springbok Airport","South Africa","Springbok","https://www.worlddata.info/africa/south-africa/airports.php"
"SBV","AYSH","Sabah Airport","Papua New Guinea","Sabah","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SBW","WBGS","Sibu Airport","Malaysia","Sibu","https://www.worlddata.info/asia/malaysia/airports.php"
"SBX","KSBX","Shelby Airport","United States of America","Shelby","https://www.worlddata.info/america/usa/airports.php"
"SBY","KSBY","Salisbury Ocean City Wicomico Regional Airport","United States of America","Salisbury","https://www.worlddata.info/america/usa/airports.php"
"SBZ","LRSB","Sibiu International Airport","Romania","Sibiu","https://www.worlddata.info/europe/romania/airports.php"
"SCB","KSCB","Scribner State Airport","United States of America","Scribner","https://www.worlddata.info/america/usa/airports.php"
"SCC","PASC","Deadhorse Airport","United States of America","Deadhorse","https://www.worlddata.info/america/usa/airports.php"
"SCD","MHUL","Sulaco Airport","Honduras","Sulaco","https://www.worlddata.info/america/honduras/airports.php"
"SCE","KUNV","State College Regional Airport","United States of America","State College","https://www.worlddata.info/america/usa/airports.php"
"SCF","KSDL","Scottsdale Airport","United States of America","Scottsdale","https://www.worlddata.info/america/usa/airports.php"
"SCG","YSPK","Spring Creek Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"SCH","KSCH","Schenectady County Airport","United States of America","Schenectady","https://www.worlddata.info/america/usa/airports.php"
"SCI","SVPM","Paramillo Airport","Venezuela",,"https://www.worlddata.info/america/venezuela/airports.php"
"SCK","KSCK","Stockton Metropolitan Airport","United States of America","Stockton","https://www.worlddata.info/america/usa/airports.php"
"SCL","SCEL","Comodoro Arturo Merino Benítez International Airport","Chile","Santiago","https://www.worlddata.info/america/chile/airports.php"
"SCM","PACM","Scammon Bay Airport","United States of America","Scammon Bay","https://www.worlddata.info/america/usa/airports.php"
"SCN","EDDR","Saarbrücken Airport","Germany","Saarbrücken","https://www.worlddata.info/europe/germany/airports.php"
"SCO","UATE","Aktau Airport","Kazakhstan","Aktau","https://www.worlddata.info/asia/kazakhstan/airports.php"
"SCP","LFNC","Mont-Dauphin - St-Crépin Airfield","France",,"https://www.worlddata.info/europe/france/airports.php"
"SCQ","LEST","Santiago-Rosalía de Castro Airport","Spain","Santiago de Compostela","https://www.worlddata.info/europe/spain/airports.php"
"SCR","ESKS","Scandinavian Mountains Airport","Sweden","Malung-Sälen","https://www.worlddata.info/europe/sweden/airports.php"
"SCT","OYSQ","Socotra International Airport","Yemen","Socotra Islands","https://www.worlddata.info/asia/yemen/airports.php"
"SCU","MUCU","Antonio Maceo International Airport","Cuba","Santiago","https://www.worlddata.info/america/cuba/airports.php"
"SCV","LRSV","Suceava Stefan cel Mare Airport","Romania","Suceava","https://www.worlddata.info/europe/romania/airports.php"
"SCW","UUYY","Syktyvkar Airport","Russia","Syktyvkar","https://www.worlddata.info/europe/russia/airports.php"
"SCX",,"Estación Aeronaval de Salina Cruz","Mexico","Salina Cruz","https://www.worlddata.info/america/mexico/airports.php"
"SCY","SEST","San Cristóbal Airport","Ecuador","Puerto Baquerizo Moreno","https://www.worlddata.info/america/ecuador/airports.php"
"SCZ","AGGL","Santa Cruz/Graciosa Bay/Luova Airport","Solomon Islands","Santa Cruz/Graciosa Bay/Luova","https://www.worlddata.info/oceania/solomon-islands/airports.php"
"SDB","FALW","Langebaanweg Airport","South Africa","Langebaanweg","https://www.worlddata.info/africa/south-africa/airports.php"
"SDC","SYSC","Sand Creek Airport","Guyana","Sand Creek","https://www.worlddata.info/america/guyana/airports.php"
"SDD","FNUB","Lubango Airport","Angola","Lubango","https://www.worlddata.info/africa/angola/airports.php"
"SDE","SANE","Vicecomodoro Angel D. La Paz Aragonés Airport","Argentina","Santiago del Estero","https://www.worlddata.info/america/argentina/airports.php"
"SDF","KSDF","Louisville Muhammad Ali International Airport","United States of America","Louisville","https://www.worlddata.info/america/usa/airports.php"
"SDG","OICS","Sanandaj Airport","Iran",,"https://www.worlddata.info/asia/iran/airports.php"
"SDI",,"Saidor Airport","Papua New Guinea","Saidor","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SDJ","RJSS","Sendai Airport","Japan","Natori","https://www.worlddata.info/asia/japan/airports.php"
"SDK","WBKS","Sandakan Airport","Malaysia","Sandakan","https://www.worlddata.info/asia/malaysia/airports.php"
"SDL","ESNN","Sundsvall-Härnösand Airport","Sweden","Sundsvall/ Härnösand","https://www.worlddata.info/europe/sweden/airports.php"
"SDM","KSDM","Brown Field Municipal Airport","United States of America","San Diego","https://www.worlddata.info/america/usa/airports.php"
"SDN","ENSD","Sandane Airport, Anda","Norway","Sandane","https://www.worlddata.info/europe/norway/airports.php"
"SDP","PASD","Sand Point Airport","United States of America","Sand Point","https://www.worlddata.info/america/usa/airports.php"
"SDQ","MDSD","Las Américas International Airport","Dominican Republic","Santo Domingo","https://www.worlddata.info/america/dominican-republic/airports.php"
"SDR","LEXJ","Seve Ballesteros-Santander Airport","Spain","Santander","https://www.worlddata.info/europe/spain/airports.php"
"SDS","RJSD","Sado Airport","Japan","Sado","https://www.worlddata.info/asia/japan/airports.php"
"SDT","OPSS","Saidu Sharif Airport","Pakistan","Saidu Sharif","https://www.worlddata.info/asia/pakistan/airports.php"
"SDU","SBRJ","Santos Dumont Airport","Brazil","Rio de Janeiro","https://www.worlddata.info/america/brazil/airports.php"
"SDW","VOSR","Sindhudurg Airport","India","Sindhudurg","https://www.worlddata.info/asia/india/airports.php"
"SDX","KSEZ","Sedona Airport","United States of America","Sedona","https://www.worlddata.info/america/usa/airports.php"
"SDY","KSDY","Sidney - Richland Regional Airport","United States of America","Sidney","https://www.worlddata.info/america/usa/airports.php"
"SEA","KSEA","Seattle–Tacoma International Airport","United States of America","Seattle","https://www.worlddata.info/america/usa/airports.php"
"SEB","HLLS","Sabha Airport","Libya","Sabha","https://www.worlddata.info/africa/libya/airports.php"
"SEE","KSEE","Gillespie Field","United States of America","San Diego/El Cajon","https://www.worlddata.info/america/usa/airports.php"
"SEF","KSEF","Sebring Regional Airport","United States of America","Sebring","https://www.worlddata.info/america/usa/airports.php"
"SEG","KSEG","Penn Valley Airport","United States of America","Selinsgrove","https://www.worlddata.info/america/usa/airports.php"
"SEH","WAJS","Senggeh Airport","Indonesia","Senggeh","https://www.worlddata.info/asia/indonesia/airports.php"
"SEK","UESK","Srednekolymsk Airport","Russia","Srednekolymsk","https://www.worlddata.info/europe/russia/airports.php"
"SEM","KSEM","Craig Field","United States of America","Selma","https://www.worlddata.info/america/usa/airports.php"
"SEN","EGMC","London Southend Airport","United Kingdom","Southend-on-Sea, Essex","https://www.worlddata.info/europe/united-kingdom/airports.php"
"SEO","DISG","Séguéla Airport","Ivory Coast","Séguéla","https://www.worlddata.info/africa/ivory-coast/airports.php"
"SEP","KSEP","Stephenville Clark Regional Airport","United States of America","Stephenville","https://www.worlddata.info/america/usa/airports.php"
"SEQ","WIBS","Sungai Pakning Bengkalis Airport","Indonesia","Bengkalis-Sumatra Island","https://www.worlddata.info/asia/indonesia/airports.php"
"SER","KSER","Freeman Municipal Airport","United States of America","Seymour","https://www.worlddata.info/america/usa/airports.php"
"SES","UOIG","Svetlogorsk Airport","Russia","Svetlogorsk","https://www.worlddata.info/europe/russia/airports.php"
"SET","SNHS","Santa Magalhães Airport","Brazil","Serra Talhada","https://www.worlddata.info/america/brazil/airports.php"
"SEU","HTSN","Seronera Airport","Tanzania","Seronera","https://www.worlddata.info/africa/tanzania/airports.php"
"SEW","HESW","Siwa Oasis North Airport","Egypt","Siwa Oasis","https://www.worlddata.info/africa/egypt/airports.php"
"SEY","GQNS","Sélibaby Airport","Mauritania","Sélibaby","https://www.worlddata.info/africa/mauritania/airports.php"
"SEZ","FSIA","Seychelles International Airport","Seychelles","Mahe Island","https://www.worlddata.info/africa/seychelles/airports.php"
"SFA","DTTX","Sfax Thyna International Airport","Tunisia","Sfax","https://www.worlddata.info/africa/tunisia/airports.php"
"SFB","KSFB","Orlando Sanford International Airport","United States of America","Orlando","https://www.worlddata.info/america/usa/airports.php"
"SFC","TFFC","St-François Airport","Guadeloupe","St-François","https://www.worlddata.info/america/guadeloupe/airports.php"
"SFD","SVSR","San Fernando De Apure Airport","Venezuela","Inglaterra","https://www.worlddata.info/america/venezuela/airports.php"
"SFE","RPUS","San Fernando Airport","Philippines",,"https://www.worlddata.info/asia/philippines/airports.php"
"SFF","KSFF","Felts Field","United States of America","Spokane","https://www.worlddata.info/america/usa/airports.php"
"SFG","TFFG","Grand Case-Espérance Airport","Saint Martin","Grand Case","https://www.worlddata.info/america/saint-martin/airports.php"
"SFH","MMSF","Aeropuerto Internacional San Felipe","Mexico","Mexicali","https://www.worlddata.info/america/mexico/airports.php"
"SFJ","BGSF","Kangerlussuaq Airport","Greenland","Kangerlussuaq","https://www.worlddata.info/america/greenland/airports.php"
"SFK","SNSW","Soure Airport","Brazil","Soure","https://www.worlddata.info/america/brazil/airports.php"
"SFL","GVSF","São Filipe Airport","Cape Verde","São Filipe","https://www.worlddata.info/africa/cape-verde/airports.php"
"SFM","KSFM","Sanford Seacoast Regional Airport","United States of America","Sanford","https://www.worlddata.info/america/usa/airports.php"
"SFN","SAAV","Sauce Viejo Airport","Argentina","Santa Fe","https://www.worlddata.info/america/argentina/airports.php"
"SFO","KSFO","San Francisco International Airport","United States of America","San Francisco","https://www.worlddata.info/america/usa/airports.php"
"SFS","RPLB","Subic Bay International Airport / Naval Air Station Cubi Point","Philippines","Olongapo","https://www.worlddata.info/asia/philippines/airports.php"
"SFT","ESNS","Skellefteå Airport","Sweden","Skellefteå","https://www.worlddata.info/europe/sweden/airports.php"
"SFU",,"Safia Airport","Papua New Guinea","Safia","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SFX",,"Macagua Airport","Venezuela","Ciudad Guayana","https://www.worlddata.info/america/venezuela/airports.php"
"SFZ","KSFZ","North Central State Airport","United States of America","Pawtucket","https://www.worlddata.info/america/usa/airports.php"
"SGA","OASN","Sheghnan Airport","Afghanistan","Shiveh","https://www.worlddata.info/asia/afghanistan/airports.php"
"SGC","USRR","Surgut Airport","Russia","Surgut","https://www.worlddata.info/europe/russia/airports.php"
"SGD","EKSB","Sønderborg Airport","Denmark","Sønderborg","https://www.worlddata.info/europe/denmark/airports.php"
"SGE","EDGS","Siegerland Airport","Germany","Burbach","https://www.worlddata.info/europe/germany/airports.php"
"SGF","KSGF","Springfield Branson National Airport","United States of America","Springfield","https://www.worlddata.info/america/usa/airports.php"
"SGH","KSGH","Springfield-Beckley Municipal Airport","United States of America","Springfield","https://www.worlddata.info/america/usa/airports.php"
"SGI","OPSR","Mushaf Air Base","Pakistan","Sargodha","https://www.worlddata.info/asia/pakistan/airports.php"
"SGK",,"Sengapi Airstrip","Papua New Guinea","Sengapi","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SGL","RPLS","Danilo Atienza Air Base","Philippines","Cavite","https://www.worlddata.info/asia/philippines/airports.php"
"SGM",,"San Ignacio Airport","Mexico","Mulegé","https://www.worlddata.info/america/mexico/airports.php"
"SGN","VVTS","Tan Son Nhat International Airport","Vietnam","Ho Chi Minh City","https://www.worlddata.info/asia/vietnam/airports.php"
"SGO","YSGE","St George Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"SGP","YSHG","Shay Gap Airport","Australia","Shay Gap","https://www.worlddata.info/oceania/australia/airports.php"
"SGQ","WRLA","Sanggata/Sangkimah Airport","Indonesia","Sanggata/Sangkimah","https://www.worlddata.info/asia/indonesia/airports.php"
"SGR","KSGR","Sugar Land Regional Airport","United States of America","Houston","https://www.worlddata.info/america/usa/airports.php"
"SGT","KSGT","Stuttgart Municipal Airport / Carl Humphrey Field","United States of America","Stuttgart","https://www.worlddata.info/america/usa/airports.php"
"SGU","KSGU","St George Regional Airport","United States of America","St George","https://www.worlddata.info/america/usa/airports.php"
"SGV","SAVS","Sierra Grande Airport","Argentina","Sierra Grande","https://www.worlddata.info/america/argentina/airports.php"
"SGX","HTSO","Songea Airport","Tanzania","Songea","https://www.worlddata.info/africa/tanzania/airports.php"
"SGY","PAGY","Skagway Airport","United States of America","Skagway","https://www.worlddata.info/america/usa/airports.php"
"SGZ","VTSH","Songkhla Airport","Thailand",,"https://www.worlddata.info/asia/thailand/airports.php"
"SHA","ZSSS","Shanghai Hongqiao International Airport","China","Shanghai (Minhang)","https://www.worlddata.info/asia/china/airports.php"
"SHB","RJCN","Nakashibetsu Airport","Japan","Nakashibetsu","https://www.worlddata.info/asia/japan/airports.php"
"SHC",,"Shire Inda Selassie Airport","Ethiopia","Shire Inda Selassie","https://www.worlddata.info/africa/ethiopia/airports.php"
"SHD","KSHD","Shenandoah Valley Regional Airport","United States of America","Weyers Cave","https://www.worlddata.info/america/usa/airports.php"
"SHE","ZYTX","Shenyang Taoxian International Airport","China","Hunnan, Shenyang","https://www.worlddata.info/asia/china/airports.php"
"SHF","ZGHU","Shihezi Huayuan Airport","China","Shihezi","https://www.worlddata.info/asia/china/airports.php"
"SHG","PAGH","Shungnak Airport","United States of America","Shungnak","https://www.worlddata.info/america/usa/airports.php"
"SHH","PASH","Shishmaref Airport","United States of America","Shishmaref","https://www.worlddata.info/america/usa/airports.php"
"SHI","RORS","Miyako Shimojishima Airport","Japan","Miyakojima","https://www.worlddata.info/asia/japan/airports.php"
"SHJ","OMSJ","Sharjah International Airport","United Arab Emirates","Sharjah","https://www.worlddata.info/asia/arab-emirates/airports.php"
"SHK","FXSH","Sehonghong Airport","Lesotho","Sehonghong","https://www.worlddata.info/africa/lesotho/airports.php"
"SHL","VEBI","Shillong Airport","India","Shillong","https://www.worlddata.info/asia/india/airports.php"
"SHM","RJBD","Nanki Shirahama Airport","Japan","Shirahama","https://www.worlddata.info/asia/japan/airports.php"
"SHN","KSHN","Sanderson Field","United States of America","Shelton","https://www.worlddata.info/america/usa/airports.php"
"SHO","FDSK","King Mswati III International Airport","Eswatini","Mpaka","https://www.worlddata.info/africa/eswatini/airports.php"
"SHQ","YSPT","Southport Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"SHR","KSHR","Sheridan County Airport","United States of America","Sheridan","https://www.worlddata.info/america/usa/airports.php"
"SHS","ZHJZ","Jingzhou Shashi Airport","China","Jingzhou (Shashi)","https://www.worlddata.info/asia/china/airports.php"
"SHT","YSHT","Shepparton Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"SHU","YSMP","Smith Point Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"SHV","KSHV","Shreveport Regional Airport","United States of America","Shreveport","https://www.worlddata.info/america/usa/airports.php"
"SHW","OESH","Sharurah Domestic Airport","Saudi Arabia","Sharurah","https://www.worlddata.info/asia/saudi-arabia/airports.php"
"SHX","PAHX","Shageluk Airport","United States of America","Shageluk","https://www.worlddata.info/america/usa/airports.php"
"SHY","HTSY","Shinyanga Airport","Tanzania","Shinyanga","https://www.worlddata.info/africa/tanzania/airports.php"
"SHZ","FXSS","Seshutes Airport","Lesotho","Seshutes","https://www.worlddata.info/africa/lesotho/airports.php"
"SIA","ZLSN","Xi'an Xiguan Airport","China","Xi'an (Baqiao)","https://www.worlddata.info/asia/china/airports.php"
"SIB","FCBS","Sibiti Airport","Republic of the Congo","Sibiti","https://www.worlddata.info/africa/congo-brazzaville/airports.php"
"SIC",,"San José Island Airport","Panama","Las Perlas","https://www.worlddata.info/america/panama/airports.php"
"SID","GVAC","Amílcar Cabral International Airport","Cape Verde","Espargos","https://www.worlddata.info/africa/cape-verde/airports.php"
"SIF","VNSI","Simara Airport","Nepal","Simara","https://www.worlddata.info/asia/nepal/airports.php"
"SIG","TJIG","Fernando Luis Ribas Dominicci Airport","Puerto Rico","San Juan","https://www.worlddata.info/america/puerto-rico/airports.php"
"SIH","VNDT","Silgadi Doti Airport","Nepal","Silgadi Doti","https://www.worlddata.info/asia/nepal/airports.php"
"SIJ","BISI","Siglufjörður Airport","Iceland","Siglufjörður","https://www.worlddata.info/europe/iceland/airports.php"
"SIK","KSIK","Sikeston Memorial Municipal Airport","United States of America","Sikeston","https://www.worlddata.info/america/usa/airports.php"
"SIL","AYSG","Sila Airport","Papua New Guinea","Sila Mission","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SIM","AYSJ","Simbai Airport","Papua New Guinea","Simbai","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SIN","WSSS","Singapore Changi Airport","Singapore","Singapore","https://www.worlddata.info/asia/singapore/airports.php"
"SIO","YSMI","Smithton Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"SIP","UKFF","Simferopol International Airport","Ukraine","Simferopol","https://www.worlddata.info/europe/ukraine/airports.php"
"SIQ","WIDS","Dabo Airport","Indonesia","Pasirkuning-Singkep Island","https://www.worlddata.info/asia/indonesia/airports.php"
"SIR","LSGS","Sion Airport","Switzerland","Sion","https://www.worlddata.info/europe/switzerland/airports.php"
"SIS","FASS","Sishen Airport","South Africa","Sishen","https://www.worlddata.info/africa/south-africa/airports.php"
"SIT","PASI","Sitka Rocky Gutierrez Airport","United States of America","Sitka","https://www.worlddata.info/america/usa/airports.php"
"SIU","MNSI","Siuna","Nicaragua","Siuna","https://www.worlddata.info/america/nicaragua/airports.php"
"SIV","KSIV","Sullivan County Airport","United States of America","Sullivan","https://www.worlddata.info/america/usa/airports.php"
"SIW","WIMP","Sibisa Airport","Indonesia","Parapat-Sumatra Island","https://www.worlddata.info/asia/indonesia/airports.php"
"SIX","YSGT","Singleton Airport","Australia","Singleton","https://www.worlddata.info/oceania/australia/airports.php"
"SIZ",,"Sissano Airport","Papua New Guinea","Sissano","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SJA","SPJN","San Juan de Marcona Airport","Peru","San Juan de Marcona","https://www.worlddata.info/america/peru/airports.php"
"SJB","SLJO","San Joaquín Airport","Bolivia","San Joaquín","https://www.worlddata.info/america/bolivia/airports.php"
"SJC","KSJC","Norman Y. Mineta San Jose International Airport","United States of America","San Jose","https://www.worlddata.info/america/usa/airports.php"
"SJD","MMSD","Aeropuerto Internacional de Los Cabos","Mexico","San José del Cabo","https://www.worlddata.info/america/mexico/airports.php"
"SJE","SKSJ","Jorge E. Gonzalez Torres Airport","Colombia","San José Del Guaviare","https://www.worlddata.info/america/colombia/airports.php"
"SJH",,"San Juan Del César Airport","Colombia","San Juan Del César","https://www.worlddata.info/america/colombia/airports.php"
"SJI","RPUH","San Jose Airport","Philippines","San Jose","https://www.worlddata.info/asia/philippines/airports.php"
"SJJ","LQSA","Sarajevo International Airport","Bosnia and Herzegovina","Sarajevo","https://www.worlddata.info/europe/bosnia-and-herzegovina/airports.php"
"SJK","SBSJ","Professor Urbano Ernesto Stumpf Airport","Brazil","São José Dos Campos","https://www.worlddata.info/america/brazil/airports.php"
"SJL","SBUA","São Gabriel da Cachoeira Airport","Brazil","São Gabriel da Cachoeira","https://www.worlddata.info/america/brazil/airports.php"
"SJN","KSJN","St Johns Industrial Air Park","United States of America","St Johns","https://www.worlddata.info/america/usa/airports.php"
"SJO","MROC","Juan Santamaría International Airport","Costa Rica","San José (Alajuela)","https://www.worlddata.info/america/costa-rica/airports.php"
"SJP","SBSR","Prof. Eribelto Manoel Reino State Airport","Brazil","São José do Rio Preto","https://www.worlddata.info/america/brazil/airports.php"
"SJQ","FLSS","Sesheke Airport","Zambia","Sesheke","https://www.worlddata.info/africa/zambia/airports.php"
"SJR",,"San Juan De Uraba Airport","Colombia","San Juan De Uraba","https://www.worlddata.info/america/colombia/airports.php"
"SJS","SLJE","San José De Chiquitos Airport","Bolivia","San José de Chiquitos","https://www.worlddata.info/america/bolivia/airports.php"
"SJT","KSJT","San Angelo Regional Mathis Field","United States of America","San Angelo","https://www.worlddata.info/america/usa/airports.php"
"SJU","TJSJ","Luis Munoz Marin International Airport","Puerto Rico","San Juan","https://www.worlddata.info/america/puerto-rico/airports.php"
"SJV","SLJV","San Javier Airport","Bolivia","San Javier","https://www.worlddata.info/america/bolivia/airports.php"
"SJW","ZBSJ","Shijiazhuang Zhengding International Airport","China","Shijiazhuang","https://www.worlddata.info/asia/china/airports.php"
"SJX",,"Sartaneja Airport","Belize","Sartaneja","https://www.worlddata.info/america/belize/airports.php"
"SJY","EFSI","Seinäjoki Airport","Finland","Seinäjoki / Ilmajoki","https://www.worlddata.info/europe/finland/airports.php"
"SJZ","LPSJ","São Jorge Airport","Portugal","Velas","https://www.worlddata.info/europe/portugal/airports.php"
"SKA","KSKA","Fairchild Air Force Base","United States of America","Spokane","https://www.worlddata.info/america/usa/airports.php"
"SKB","TKPK","Robert L. Bradshaw International Airport","Saint Kitts and Nevis","Basseterre","https://www.worlddata.info/america/stkitts-nevis/airports.php"
"SKC",,"Suki Airport","Papua New Guinea","Suki","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"SKD","UTSS","Samarkand Airport","Uzbekistan","Samarkand","https://www.worlddata.info/asia/uzbekistan/airports.php"
"SKE","ENSN","Skien Airport","Norway","Geiteryggen","https://www.worlddata.info/europe/norway/airports.php"
"SKF","KSKF","Lackland Air Force Base","United States of America","San Antonio","https://www.worlddata.info/america/usa/airports.php"
"SKG","LGTS","Thessaloniki Macedonia International Airport","Greece","Thessaloniki","https://www.worlddata.info/europe/greece/airports.php"
"SKH","VNSK","Surkhet Airport","Nepal","Surkhet","https://www.worlddata.info/asia/nepal/airports.php"
"SKK","PFSH","Shaktoolik Airport","United States of America","Shaktoolik","https://www.worlddata.info/america/usa/airports.php"
"SKM","SYSK","Skeldon Airport","Guyana","Skeldon","https://www.worlddata.info/america/guyana/airports.php"
"SKN","ENSK","Stokmarknes Airport, Skagen","Norway","Hadsel","https://www.worlddata.info/europe/norway/airports.php"
"SKO","DNSO","Sadiq Abubakar III International Airport","Nigeria","Sokoto","https://www.worlddata.info/africa/nigeria/airports.php"
"SKP","LWSK","Skopje International Airport","North Macedonia","Ilinden","https://www.worlddata.info/europe/northmacedonia/airports.php"
"SKQ","FXSK","Sekakes Airport","Lesotho","Sekakes","https://www.worlddata.info/africa/lesotho/airports.php"
"SKR","HASK","Shakiso Airport","Ethiopia","Shakiso","https://www.worlddata.info/africa/ethiopia/airports.php"
"SKS","EKSP","Skrydstrup Air Base","Denmark","Vojens","https://www.worlddata.info/europe/denmark/airports.php"
"SKT","OPST","Sialkot International Airport","Pakistan","Sialkot","https://www.worlddata.info/asia/pakistan/airports.php"
"SKU","LGSY","Skiros Airport","Greece","Skiros Island","https://www.worlddata.info/europe/greece/airports.php"
"SKV","HESC","Saint Catherine International Airport","Egypt","Saint Catherine","https://www.worlddata.info/africa/egypt/airports.php"
"SKW","PASW","Skwentna Airport","United States of America","Skwentna","https://www.worlddata.info/america/usa/airports.php"
"SKX","UWPS","Saransk Airport","Russia","Saransk","https://www.worlddata.info/europe/russia/airports.php"
"SKZ","OPSK","Sukkur Airport","Pakistan","Mirpur Khas","https://www.worlddata.info/asia/pakistan/airports.php"
"SLA","SASA","Martin Miguel De Guemes International Airport","Argentina","Salta","https://www.worlddata.info/america/argentina/airports.php"
"SLB","KSLB","Storm Lake Municipal Airport","United States of America","Storm Lake","https://www.worlddata.info/america/usa/airports.php"
"SLC","KSLC","Salt Lake City International Airport","United States of America","Salt Lake City","https://www.worlddata.info/america/usa/airports.php"
"SLD","LZSL","Sliač Airport","Slovakia","Sliač","https://www.worlddata.info/europe/slovakia/airports.php"
"SLE","KSLE","Salem-Willamette Valley Airport/McNary Field","United States of America","Salem","https://www.worlddata.info/america/usa/airports.php"
"SLF","OESL","As-Sulayyil Airport","Saudi Arabia","As-Sulayyil","https://www.worlddata.info/asia/saudi-arabia/airports.php"
"SLG","KSLG","Smith Field","United States of America","Siloam Springs","https://www.worlddata.info/america/usa/airports.php"
"SLH","NVSC","Sola Airport","Vanuatu","Sola","https://www.worlddata.info/oceania/vanuatu/airports.php"
"SLI","FLSW","Solwesi Airport","Zambia","Solwesi","https://www.worlddata.info/africa/zambia/airports.php"
"SLJ",,"Solomon Airport","Australia","Karijini National Park","https://www.worlddata.info/oceania/australia/airports.php"
"SLK","KSLK","Adirondack Regional Airport","United States of America","Saranac Lake","https://www.worlddata.info/america/usa/airports.php"
"SLL","OOSA","Salalah Airport","Oman","Salalah","https://www.worlddata.info/asia/oman/airports.php"
